address|text|type|size
0049557c|No.   Name       Date  Player   Rank|string|37
004955a4|Stage6  |string|9
004955b0|Stage5  |string|9
004955bc|Stage4  |string|9
004955c8|Stage3  |string|9
004955d4|Stage2  |string|9
004955e0|Stage1  |string|9
004955ec|Phantasm|string|9
004955f8|Extra   |string|9
00495604|Lunatic |string|9
00495610|Hard    |string|9
0049561c|Normal  |string|9
00495628|Easy    |string|9
00495634|リプレイデータが異常\r\n|string|23
0049564c|../|string|4
00495650|User |string|6
00495658|./replay/%s|string|12
00495664|th7_ud????.rpy|string|15
00495674|./replay|string|9
00495680|data/title/select00.jpg|string|24
00495698|おおよそ終了します|string|19
004956ac|初期設定に戻します|string|19
004956c0|ショット押しっぱなしで低速移動になるようにします|string|49
004956f4|右移動ボタンを設定します|string|25
00495710|左移動ボタンを設定します|string|25
0049572c|下移動ボタンを設定します|string|25
00495748|上移動ボタンを設定します|string|25
00495764|ポーズボタンを設定します|string|25
00495780|メッセージスキップボタンを設定します|string|37
004957a8|低速移動ボタンを設定します|string|27
004957c4|ボム、キャンセルボタンを設定します|string|35
004957e8|ショット、決定ボタンを設定します|string|33
0049580c|bgm/th07_01.mid|string|16
0049581c|おいそれと終了します|string|21
00495834|パッド操作のボタン配置を変更します|string|35
00495858|全て初期設定にします|string|21
00495870|弾が多い場面でわざと処理落ちさせます(スコア、リプレイ記録不可)|string|63
004958b0|ウィンドウかフルスクリーンか選択します|string|39
004958d8|効果音を再生するか選択します|string|29
004958f8|ＢＧＭの再生方法を変更します。（初期設定　ＷＡＶ）|string|51
0049592c|画面の色数を変更します。３２ＢＩＴだと最も綺麗に表示されます。|string|63
0049596c|プレイヤーの初期数を変更します。（初期設定　３）|string|49
004959a0|error : Demo Play is not ready\r\n|string|33
004959c4|data/title/title00.jpg|string|23
004959dc|いろいろと終了します|string|21
004959f4|各種設定できます|string|17
00495a08|音楽を聴けます|string|15
00495a18|過去のスコアやスペルカードの取得歴を見られます|string|47
00495a48|リプレイを鑑賞できます|string|23
00495a60|ステージを選択し、練習を開始します|string|35
00495a84|エキストラステージを開始します|string|31
00495aa4|ゲームを開始します|string|19
00495ab8|data/demo/demorpy2.rpy|string|24
00495ad0|data/demo/demorpy1.rpy|string|24
00495ae8|data/demo/demorpy0.rpy|string|23
00495b00|SakuyaB|string|8
00495b08|SakuyaA|string|8
00495b10|MarisaB|string|8
00495b18|MarisaA|string|8
00495b20|ReimuB |string|8
00495b28|ReimuA |string|8
00495b30|%sが読み込めないです。\r\n|string|25
00495b4c|アニメが格納できません。テーブルが不足しています\r\n|string|51
00495b80|スプライトが格納できません。テーブルが不足しています\r\n|string|55
00495bb8|テクスチャが読み込めません。データが失われてるか壊れています\r\n|string|63
00495bf8|テクスチャ %s が読み込めません。データが失われてるか壊れています\r\n|string|67
00495c3c|アニメのバージョンが違います\r\n|string|31
00495c5c|テクスチャ格納先が足りません\r\n|string|31
00495c7c|アニメが読み込めません。データが失われてるか壊れています\r\n|string|59
00495cb8|error : イメージがαを持っていません\r\n|string|39
00495ce0|Sound Que Add %d\r\n|string|19
00495cf4|atention : ストリーミング用スレッドは終了しました。\r\n|string|54
00495d2c|locked\n|string|8
00495d34|Sound : Fade Out Stage %d\r\n|string|28
00495d50|Sound : Handle Close Stage\r\n|string|29
00495d70|Sound : Thread Stop Wait Stage\r\n|string|33
00495d94|Sound : Thread Stop Stage\r\n|string|28
00495db0|Sound : ReOpen Stage\r\n|string|23
00495dc8|Sound : Recreate Stage\r\n|string|25
00495de4|Sound : Stop Stage\r\n|string|21
00495dfc|Sound : Play Stage\r\n|string|21
00495e14|Sound : Fill Buffer Stage\r\n|string|28
00495e30|Sound : Reset Stage\r\n|string|22
00495e48|Sound : Load Stage\r\n|string|21
00495e60|Sound : PreLoad Stage\r\n|string|24
00495e78|error : Sound ファイルが読み込めない データを確認 %s\r\n|string|55
00495eb0|stop comp\r\n|string|12
00495ebc|stop m_dwNotifyThreadID\r\n|string|26
00495ed8|Streming BGM stop\r\n|string|20
00495eec|load comp\r\n|string|12
00495ef8|Streming BGM Load no %d\r\n|string|26
00495f14|error : bgmfile is not find %s\r\n|string|33
00495f38|Streming BGM PreLoad %d\r\n|string|26
00495f54|Streming BGM Reopen %d\r\n|string|25
00495f70|error : ストリーミング用サウンドバッファを作成出来ませんでした\r\n|string|65
00495fb4|Streming BGM Start\r\n|string|21
00495fcc|data|string|5
00495fd4|fmt |string|5
00495fdc|Wav ファイルじゃない? %s\r\n|string|27
00495ff8|WAVE|string|5
00496000|Wav ファイルじゃない %s\r\n|string|26
0049601c|RIFF|string|5
00496024|DirectSound は正常に初期化されました\r\n|string|39
0049604c|DirectSound オブジェクトの初期化が失敗したよ\r\n|string|47
0049607c|data/wav/se_pause.wav|string|22
00496094|data/wav/se_bonus2.wav|string|23
004960ac|data/wav/se_bonus.wav|string|22
004960c4|data/wav/se_border.wav|string|23
004960dc|data/wav/se_powerup.wav|string|24
004960f4|data/wav/se_graze.wav|string|22
0049610c|data/wav/se_timeout.wav|string|24
00496124|data/wav/se_extend.wav|string|23
0049613c|data/wav/se_kira02.wav|string|23
00496154|data/wav/se_kira01.wav|string|23
0049616c|data/wav/se_kira00.wav|string|23
00496184|data/wav/se_item00.wav|string|23
0049619c|data/wav/se_damage00.wav|string|25
004961b8|data/wav/se_nep00.wav|string|22
004961d0|data/wav/se_enep01.wav|string|23
004961e8|data/wav/se_lazer01.wav|string|24
00496200|data/wav/se_lazer00.wav|string|24
00496218|data/wav/se_cat00.wav|string|22
00496230|data/wav/se_gun00.wav|string|22
00496248|data/wav/se_select00.wav|string|25
00496264|data/wav/se_cancel00.wav|string|25
00496280|data/wav/se_ok00.wav|string|21
00496298|data/wav/se_tan02.wav|string|22
004962b0|data/wav/se_tan01.wav|string|22
004962c8|data/wav/se_tan00.wav|string|22
004962e0|data/wav/se_power1.wav|string|23
004962f8|data/wav/se_power0.wav|string|23
00496310|data/wav/se_pldead00.wav|string|25
0049632c|data/wav/se_enep00.wav|string|23
00496344|data/wav/se_plst00.wav|string|23
0049635c|Stg.PlayTimeAll = %d\r\n|string|23
00496374|        |string|9
00496380|data/result00.anm|string|18
00496394|data/result/result.jpg|string|23
004963ac|--/--|string|6
004963b4|--------|string|9
004963c0|DMYS|string|5
004963c8|No.%.2d -------- --/--  -------          0|string|43
004963f4|      %8s|string|10
00496400|No.%.2d %8s %5s  %7s %9d0|string|26
0049641c|No.   Name     Date   Player Score|string|35
00496440|MaxBonus %8d|string|13
00496450|%3d/%3d|string|8
00496458|---/---|string|8
00496460|No.%.2d|string|8
00496468| %5s   %3.2f|string|13
00496478|%8s %9d%1d(C)|string|14
00496488|%8s %9d%1d(1)|string|14
00496498|%8s %9d%1d(%d)|string|15
004964a8|%8s|string|4
004964ac|    |string|5
004964b4|No  Name      Score(Stage)  Date   Slow|string|40
004964dc|      100%%|string|12
004964e8|    %3.2f%%|string|12
00496508|  Phantasm|string|11
00496514|     Extra|string|11
00496520|   Lunatic|string|11
0049652c|      Hard|string|11
00496538|    Normal|string|11
00496544|      Easy|string|11
00496550|%9d|string|4
00496554|リトライ回数  　 %6d %6d %6d %6d %6d %6d|string|41
00496580|リトライ回数  　 %6d %6d %6d %6d %6d %6d %6d|string|45
004965b0|プラクティス　   %6d %6d %6d %6d %6d %6d|string|41
004965dc|プラクティス　   %6d %6d %6d %6d %6d %6d %6d|string|45
0049660c|コンティニュー   %6d %6d %6d %6d %6d %6d|string|41
00496638|コンティニュー   %6d %6d %6d %6d %6d %6d %6d|string|45
00496668|クリア回数  　　 %6d %6d %6d %6d %6d %6d|string|41
00496694|クリア回数  　　 %6d %6d %6d %6d %6d %6d %6d|string|45
004966c4|%s %6d %6d %6d %6d %6d %6d|string|27
004966e0|%s %6d %6d %6d %6d %6d %6d %6d|string|31
00496700|プレイ回数　　　 　Easy 　Norm 　Hard 　Luna  Extra  Total|string|59
00496740|プレイ回数　　　 　Easy 　Norm 　Hard 　Luna  Extra Phants  Total|string|66
00496784|総プレイ時間 %.2d:%.2d:%.2d|string|28
004967a0|総起動時間   %.2d:%.2d:%.2d|string|28
004967bc|./replay/th7_%.2d.rpy|string|22
004967d4|replay|string|7
004967dc|%m/%d|string|6
004967e4|HSCR|string|5
004967ec|%s %3d枚中%3d枚取得（キャラ切り替え↓↑）|string|42
00496818|？？？？？|string|11
00496824|warning : score.dat chapter size is ZERO\r\n|string|43
00496850|warning : score.dat exesumcheck error\r\n|string|40
00496878|warning : score.dat version mismatch\r\n|string|39
004968a0|warning : header size is mismatch\r\n|string|36
004968c4|warning : score.dat chksum error\r\n|string|35
004968e8|warning : score.dat size is short\r\n|string|36
0049690c|info : score recreate\r\n|string|24
00496924|info : score load\r\n|string|20
00496938|全主人公合計  　|string|17
0049694c|十六夜 咲夜 (時)|string|17
00496960|十六夜 咲夜 (幻)|string|17
00496974|霧雨 魔理沙 (恋)|string|17
00496988|霧雨 魔理沙 (魔)|string|17
0049699c|博麗 霊夢 (夢)　|string|17
004969b0|博麗 霊夢 (霊)　|string|17
004969c8|ABCDEFGHIJKLMNOPQRSTUVWXYZ.,:;_@abcdefghijklmnopqrstuvwxyz+-/*=%0123456789#!?\'\"$(){}[]<>&\\\|~^ --|string|100
00496a2c|info : Replay File rewrite %s\r\n|string|32
00496a4c|info : Size %d -> %d\r\n|string|23
00496a64|info : original size %d\r\n|string|28
00496a80|info : Replay File write %s\r\n|string|30
00496aa0|NO NAME|string|8
00496aa8|T7RP|string|5
00496ab0|data/player02.anm|string|18
00496ac4|data/player01.anm|string|18
00496ad8|data/player00.anm|string|18
00496aec|data/ply02bs.sht|string|17
00496b00|data/ply02as.sht|string|17
00496b14|data/ply01bs.sht|string|17
00496b28|data/ply01as.sht|string|17
00496b3c|data/ply00bs.sht|string|17
00496b50|data/ply00as.sht|string|17
00496b64|data/ply02b.sht|string|16
00496b74|data/ply02a.sht|string|16
00496b84|data/ply01b.sht|string|16
00496b94|data/ply01a.sht|string|16
00496ba4|data/ply00b.sht|string|16
00496bb4|data/ply00a.sht|string|16
00496bc4|data/musiccmt.txt|string|18
00496bd8|data/music00.anm|string|17
00496bec|data/result/music.jpg|string|22
00496c04|%2d.|string|5
00496c10|%d %d|string|6
00496c18|debug|string|6
00496c1e||string|1
00496c20|フォルダが書込み禁止属性になっているか、ディスクがいっぱいいっぱいになってませんか？\r\n|string|87
00496c78|ファイルが書き出せません %s\r\n|string|30
00496c98|垂直同期を取りません\r\n|string|23
00496cb0|ＢＧＭをメモリに読み込みます\r\n|string|31
00496cd0|画面周りを毎回描画します\r\n|string|27
00496cec|パッド、キーボードの入力に DirectInput を使用しません\r\n|string|56
00496d24|リファレンスラスタライザを強制します\r\n|string|39
00496d4c|ウィンドウモードで起動します\r\n|string|31
00496d6c|テクスチャの色合成を抑制しますn|string|32
00496d8c|デプステストを抑制します\r\n|string|27
00496da8|グーローシェーディングを抑制します\r\n|string|37
00496dd0|ゲーム周りのアイテムの描画を抑制します\r\n|string|41
00496dfc|バックバッファの消去を強制します\r\n|string|35
00496e20|16Bit のテクスチャの使用を強制します\r\n|string|39
00496e48|フォグの使用を抑制します\r\n|string|27
00496e64|頂点バッファの使用を抑制します\r\n|string|33
00496e88|コンフィグデータが異常でしたので再初期化しました\r\n|string|51
00496ebc|wave データが無いので、midi にします\r\n|string|39
00496ee4|BGM データのバージョンが違います\r\n|string|35
00496f08|./thbgm.dat|string|12
00496f14|コンフィグデータが見つからないので初期化しました\r\n|string|51
00496f48|error ? mother.cpp\r\n|string|21
00496f60|snapShotScreen : 確保しくり\r\n|string|30
00496f80|16bit は取り込めない\r\n|string|23
00496f98|BM|string|3
00496f9c|%2d|string|4
00496fa0|%.02ffps|string|9
00496fac|thbgm.dat|string|10
00496fb8|error : BGM の初期化に失敗しました\r\n|string|37
00496fe0|bgm/thbgm.fmt|string|14
